id,realSum
36196,399.0958
36197,957.812
36198,850.0306
36199,155.43341
36200,330.3237
36201,458.7029
36202,4459.568
36203,258.52032
36204,635.1099
36205,150.45015
36206,226.79004
36207,398.74356
36208,204.79892
36209,191.46153
36210,145.10506
36211,532.61957
36212,206.18092
36213,163.55185
36214,87.528206
36215,133.01659
36216,302.35516
36217,199.44377
36218,353.79547
36219,134.08978
36220,288.5334
36221,315.32785
36222,174.8819
36223,432.4105
36224,341.93213
36225,598.13434
36226,277.1825
36227,495.27368
36228,1222.6709
36229,218.28061
36230,212.89203
36231,226.09854
36232,187.47026
36233,192.55008
36234,151.98227
36235,420.52698
36236,140.95569
36237,252.04901
36238,156.10034
36239,167.00053
36240,339.41223
36241,222.4722
36242,151.17912
36243,260.83105
36244,175.27164
36245,180.49544
36246,351.62933
36247,198.75192
36248,341.84808
36249,518.9964
36250,287.5208
36251,408.56915
36252,387.2261
36253,370.65353
36254,309.95682
36255,299.20795
36256,134.70065
36257,373.15698
36258,174.94196
36259,344.90634
36260,376.56366
36261,162.14304
36262,145.60011
36263,114.5785
36264,106.43747
36265,468.23242
36266,200.10751
36267,243.1366
36268,275.54514
36269,203.36998
36270,459.78354
36271,241.80775
36272,219.05069
36273,497.72922
36274,139.35706
36275,232.58578
36276,277.2158
36277,187.23872
36278,147.6685
36279,285.64832
36280,147.9027
36281,149.44406
36282,112.693825
36283,137.8023
36284,199.89954
36285,206.80096
36286,185.36328
36287,256.07904
36288,197.51941
36289,58.550713
36290,461.06076
36291,277.99628
36292,291.6308
36293,363.05865
36294,123.33463
36295,221.58228
36296,738.5327
36297,152.10568
36298,187.2031
36299,125.25318
36300,134.69283
36301,542.1172
36302,125.360504
36303,309.0677
36304,228.71481
36305,125.03039
36306,113.23987
36307,256.65634
36308,338.59283
36309,235.22092
36310,193.11813
36311,362.97397
36312,187.32518
36313,397.60284
36314,177.85098
36315,203.90022
36316,579.5199
36317,179.93723
36318,105.88876
36319,193.03319
36320,849.622
36321,364.0516
36322,253.73581
36323,206.2323
36324,244.15921
36325,270.0268
36326,214.07144
36327,301.7214
36328,357.03543
36329,96.56429
36330,146.25497
36331,126.8216
36332,396.2193
36333,145.93639
36334,297.3095
36335,152.90652
36336,256.07452
36337,233.06857
36338,256.83505
36339,95.564384
36340,200.4616
36341,154.68457
36342,198.93451
36343,128.86948
36344,188.84695
36345,185.09865
36346,208.44995
36347,189.2778
36348,288.90363
36349,91.762825
36350,226.42798
36351,127.90996
36352,207.844
36353,292.02524
36354,220.67508
36355,167.57983
36356,251.70547
36357,224.10165
36358,541.5089
36359,312.38135
36360,228.67989
36361,560.33826
36362,179.38933
36363,166.88177
36364,336.58438
36365,174.35483
36366,277.73376
36367,263.7616
36368,280.0681
36369,528.5414
36370,460.1097
36371,293.93774
36372,269.98557
36373,160.4742
36374,409.25385
36375,121.8749
36376,222.86552
36377,240.8653
36378,119.54696
36379,184.98802
36380,95.887474
36381,277.3222
36382,228.90724
36383,134.18193
36384,351.11688
36385,138.58916
36386,270.09543
36387,92.57904
36388,160.83934
36389,237.52905
36390,162.02406
36391,630.4839
36392,213.43562
36393,139.14171
36394,313.79547
36395,509.14474
36396,350.37335
36397,196.37326
36398,119.96125
36399,344.44183
36400,212.86052
36401,142.78423
36402,137.60184
36403,179.82071
36404,201.7406
36405,186.75894
36406,101.35255
36407,168.2519
36408,166.76262
36409,236.041
36410,216.54355
36411,244.39827
36412,246.68326
36413,286.85242
36414,183.23291
36415,407.9199
36416,197.35873
36417,378.32
36418,160.22269
36419,226.75139
36420,89.80148
36421,413.8454
36422,262.2326
36423,223.78148
36424,144.30682
36425,185.26102
36426,114.87124
36427,173.06836
36428,266.3188
36429,900.63965
36430,357.1184
36431,598.47015
36432,355.64758
36433,139.88745
36434,205.5902
36435,271.06433
36436,411.86508
36437,244.12495
36438,289.93546
36439,221.56433
36440,422.2345
36441,186.1671
36442,387.77982
36443,180.15305
36444,166.56378
36445,208.42398
36446,248.63539
36447,217.1037
36448,192.52203
36449,581.979
36450,300.32846
36451,146.52155
36452,764.0635
36453,272.4814
36454,2617.8013
36455,119.12773
36456,141.89125
36457,172.61884
36458,432.2855
36459,324.45648
36460,141.94359
36461,287.56528
36462,397.65192
36463,129.2528
36464,231.91045
36465,216.10231
36466,117.03119
36467,323.33484
36468,193.58829
36469,149.69484
36470,337.37793
36471,419.93185
36472,182.86897
36473,114.52384
36474,338.39856
36475,277.0183
36476,188.50371
36477,544.66895
36478,193.7288
36479,192.63474
36480,192.75822
36481,365.97754
36482,294.17325
36483,187.44043
36484,333.08603
36485,116.942856
36486,340.312
36487,351.11115
36488,167.1068
36489,432.28177
36490,125.58304
36491,144.52704
36492,616.3785
36493,271.82953
36494,223.68974
36495,225.21284
36496,370.086
36497,192.93726
36498,275.44916
36499,986.24146
36500,109.66253
36501,159.02457
36502,183.9914
36503,225.1586
36504,459.3476
36505,175.08412
36506,196.78479
36507,677.8269
36508,335.52557
36509,218.68114
36510,211.66301
36511,360.10275
36512,421.7202
36513,357.15973
36514,197.48117
36515,269.66388
36516,235.77406
36517,212.00278
36518,276.22046
36519,203.20964
36520,204.64412
36521,192.18394
36522,106.88445
36523,247.31001
36524,732.4708
36525,198.02136
36526,159.53351
36527,179.01006
36528,449.91272
36529,206.38918
36530,293.18402
36531,106.5748
36532,122.803375
36533,260.01294
36534,303.84045
36535,160.15036
36536,289.72287
36537,617.9702
36538,185.39136
36539,283.35168
36540,198.25269
36541,105.89768
36542,230.99135
36543,179.12924
36544,155.30405
36545,128.44177
36546,571.87933
36547,97.497925
36548,119.65657
36549,116.51313
36550,357.8379
36551,201.9025
36552,141.0263
36553,151.67416
36554,310.56564
36555,190.48872
36556,154.76982
36557,255.50368
36558,153.20125
36559,212.30435
36560,131.69685
36561,690.4532
36562,293.61276
36563,171.58203
36564,132.9884
36565,162.20311
36566,346.90906
36567,133.38556
36568,89.386086
36569,257.9474
36570,148.61705
36571,186.49529
36572,152.58044
36573,159.10861
36574,187.05687
36575,624.1354
36576,482.4368
36577,240.15866
36578,128.99333
36579,246.57251
36580,132.80185
36581,197.35515
36582,283.25244
36583,144.0928
36584,227.75357
36585,480.61084
36586,151.21759
36587,658.04877
36588,184.4044
36589,159.55609
36590,218.77051
36591,192.58978
36592,265.33527
36593,446.25095
36594,491.4504
36595,283.1183
36596,136.59846
36597,211.33896
36598,196.62253
36599,169.45334
36600,309.5095
36601,345.1596
36602,227.10896
36603,149.3699
36604,763.76294
36605,914.2822
36606,124.58975
36607,632.8079
36608,213.19138
36609,138.5393
36610,185.51752
36611,178.85527
36612,490.3213
36613,272.98303
36614,247.1798
36615,197.4646
36616,206.5531
36617,340.19437
36618,181.99518
36619,414.25845
36620,219.42761
36621,160.72038
36622,153.00006
36623,92.4332
36624,151.43419
36625,721.4294
36626,316.37442
36627,112.54245
36628,281.62466
36629,396.451
36630,121.93573
36631,405.49872
36632,214.09041
36633,233.90717
36634,99.55246
36635,228.04926
36636,346.10358
36637,244.48851
36638,216.87492
36639,243.37419
36640,153.84242
36641,486.84915
36642,200.25534
36643,91.45244
36644,135.41893
36645,203.5878
36646,261.23474
36647,286.05823
36648,1054.3488
36649,141.95782
36650,1205.7908
36651,339.37537
36652,172.05067
36653,266.94434
36654,331.17508
36655,198.40134
36656,255.83118
36657,247.98381
36658,175.22675
36659,211.01096
36660,235.34587
36661,193.18239
36662,162.85437
36663,121.261345
36664,200.07684
36665,166.65338
36666,98.60934
36667,314.64426
36668,402.10977
36669,138.51523
36670,158.133
36671,269.42987
36672,723.2481
36673,213.33319
36674,229.31805
36675,171.81236
36676,187.40979
36677,289.39822
36678,202.53818
36679,152.02736
36680,281.9827
36681,290.7924
