id,realSum
36196,411.40918
36197,969.5343
36198,945.09326
36199,159.20476
36200,309.82785
36201,458.20624
36202,2957.0308
36203,253.69656
36204,634.42206
36205,179.45781
36206,221.51924
36207,470.51572
36208,211.18399
36209,181.89957
36210,150.50339
36211,530.33514
36212,218.27455
36213,164.62204
36214,88.8705
36215,124.78417
36216,287.94873
36217,214.64496
36218,372.1697
36219,131.807
36220,324.03262
36221,312.29288
36222,167.18048
36223,462.2651
36224,354.03375
36225,642.1998
36226,287.60284
36227,540.55164
36228,1105.5941
36229,213.72919
36230,202.79942
36231,224.07654
36232,200.81454
36233,191.32428
36234,151.85767
36235,499.94962
36236,143.78899
36237,254.85747
36238,150.91942
36239,161.0813
36240,330.817
36241,220.58017
36242,151.75943
36243,259.72247
36244,183.69647
36245,208.44415
36246,391.21487
36247,191.90163
36248,334.40814
36249,471.62006
36250,252.96371
36251,403.54608
36252,359.3966
36253,365.56146
36254,326.9792
36255,316.2782
36256,132.27873
36257,327.7257
36258,167.44646
36259,344.66446
36260,356.78778
36261,143.0566
36262,155.45691
36263,121.389496
36264,102.53648
36265,575.43774
36266,194.81021
36267,257.5337
36268,284.58688
36269,162.93636
36270,445.97168
36271,233.87468
36272,208.87643
36273,460.5972
36274,131.21664
36275,240.29266
36276,272.80972
36277,195.68544
36278,156.19896
36279,275.47342
36280,140.60434
36281,141.71243
36282,115.09384
36283,141.6574
36284,210.17102
36285,183.25586
36286,192.0993
36287,221.37964
36288,209.71596
36289,55.181786
36290,467.34634
36291,272.243
36292,289.3318
36293,395.23312
36294,122.26915
36295,223.71042
36296,739.84393
36297,160.58511
36298,145.16672
36299,123.1823
36300,138.30411
36301,567.644
36302,120.96444
36303,310.98993
36304,224.9524
36305,131.34103
36306,113.913284
36307,260.6658
36308,329.8622
36309,244.19452
36310,204.0832
36311,415.11792
36312,165.37845
36313,395.51117
36314,177.66747
36315,192.53708
36316,510.26422
36317,177.17155
36318,107.142136
36319,140.04958
36320,873.8481
36321,361.2275
36322,278.20496
36323,218.14305
36324,249.3523
36325,255.8945
36326,203.0357
36327,272.486
36328,342.6599
36329,103.22456
36330,139.91164
36331,126.53199
36332,377.88004
36333,152.99448
36334,274.4339
36335,150.73813
36336,292.08365
36337,242.39407
36338,257.76138
36339,131.47287
36340,204.54167
36341,164.76591
36342,189.73337
36343,125.68756
36344,204.76624
36345,199.73053
36346,200.148
36347,193.50647
36348,266.1367
36349,91.86188
36350,230.53604
36351,123.33949
36352,182.32574
36353,283.6389
36354,209.91862
36355,167.85837
36356,254.02141
36357,227.58194
36358,481.21497
36359,306.1635
36360,234.03232
36361,560.9291
36362,174.83711
36363,159.58694
36364,345.63483
36365,177.64923
36366,288.37604
36367,302.72656
36368,279.81866
36369,515.22705
36370,467.53955
36371,281.78415
36372,269.315
36373,188.99239
36374,407.89398
36375,131.65225
36376,212.03407
36377,229.79144
36378,131.50148
36379,165.65508
36380,93.838684
36381,273.8873
36382,249.0972
36383,131.83392
36384,369.32043
36385,128.71185
36386,259.90356
36387,104.76524
36388,158.02884
36389,245.15125
36390,163.27565
36391,680.46716
36392,209.52634
36393,129.74895
36394,319.71295
36395,517.6537
36396,349.2686
36397,184.24022
36398,117.19497
36399,354.86816
36400,245.81306
36401,145.35866
36402,145.47462
36403,196.92923
36404,193.22517
36405,184.1452
36406,104.76938
36407,172.53755
36408,192.62854
36409,238.61946
36410,187.64828
36411,264.20938
36412,218.27905
36413,299.53323
36414,174.76526
36415,407.3858
36416,179.80673
36417,397.20334
36418,174.31879
36419,235.31961
36420,96.38498
36421,376.89166
36422,263.8256
36423,227.69609
36424,159.12076
36425,214.23087
36426,132.55865
36427,187.69804
36428,181.0454
36429,916.062
36430,355.2235
36431,579.57526
36432,404.6833
36433,140.25964
36434,203.16359
36435,294.50406
36436,409.69482
36437,233.17809
36438,284.23004
36439,218.3987
36440,434.987
36441,230.09363
36442,365.86066
36443,185.08588
36444,147.58275
36445,159.89015
36446,245.14056
36447,240.00726
36448,179.34117
36449,581.57166
36450,292.11847
36451,155.04459
36452,776.6301
36453,264.53815
36454,2565.5342
36455,114.2189
36456,138.37068
36457,175.76132
36458,409.77432
36459,323.01672
36460,133.06477
36461,290.71448
36462,353.08176
36463,155.86807
36464,219.6413
36465,224.79504
36466,118.36523
36467,334.07437
36468,185.61038
36469,141.19856
36470,328.53033
36471,416.8448
36472,167.74713
36473,125.5274
36474,337.42377
36475,283.38437
36476,197.01192
36477,557.95575
36478,186.10883
36479,199.47762
36480,214.17494
36481,414.11926
36482,265.56433
36483,180.85641
36484,319.28302
36485,110.46305
36486,342.6604
36487,318.43823
36488,172.96298
36489,429.35522
36490,139.63568
36491,139.26472
36492,590.6597
36493,367.05844
36494,239.49628
36495,228.90572
36496,378.19272
36497,196.18568
36498,255.32002
36499,990.7313
36500,106.83847
36501,167.00214
36502,188.19014
36503,224.23833
36504,466.4151
36505,173.81125
36506,198.66641
36507,643.0251
36508,358.69598
36509,193.51157
36510,221.00331
36511,349.47357
36512,404.77847
36513,369.18854
36514,238.16411
36515,237.38737
36516,221.48666
36517,199.702
36518,249.96437
36519,192.04297
36520,196.89337
36521,182.44424
36522,108.67178
36523,240.04173
36524,727.7662
36525,203.90988
36526,179.63162
36527,184.20692
36528,408.53613
36529,208.31058
36530,278.7656
36531,108.23213
36532,125.00034
36533,269.66092
36534,323.95685
36535,158.24094
36536,281.58182
36537,689.28436
36538,173.37375
36539,259.10507
36540,186.05495
36541,111.63538
36542,236.0879
36543,195.12277
36544,153.02576
36545,128.33386
36546,520.71106
36547,96.75904
36548,116.22177
36549,124.36353
36550,388.94467
36551,215.75061
36552,154.68071
36553,158.13678
36554,299.79428
36555,198.08183
36556,151.32607
36557,256.4191
36558,150.64888
36559,208.8002
36560,143.53783
36561,618.89417
36562,271.7261
36563,171.35481
36564,141.46399
36565,163.64697
36566,331.03668
36567,188.7056
36568,85.56458
36569,269.91644
36570,140.80305
36571,172.52844
36572,161.78397
36573,173.28456
36574,174.47409
36575,647.1063
36576,411.7411
36577,240.88847
36578,128.94424
36579,248.27747
36580,143.96625
36581,203.86603
36582,305.77594
36583,152.29854
36584,213.01639
36585,470.19678
36586,159.29561
36587,651.809
36588,179.92783
36589,176.22517
36590,213.75069
36591,179.73459
36592,254.59201
36593,405.12827
36594,458.54532
36595,328.51825
36596,133.79308
36597,214.3055
36598,232.57822
36599,163.37225
36600,302.32422
36601,316.23175
36602,239.95543
36603,140.5992
36604,760.3529
36605,1161.9059
36606,126.92605
36607,617.83594
36608,218.50208
36609,129.62383
36610,188.91812
36611,177.18939
36612,483.00238
36613,251.36023
36614,253.86787
36615,199.66364
36616,200.40271
36617,317.9796
36618,184.38629
36619,411.03574
36620,234.50888
36621,161.61932
36622,135.39812
36623,91.617676
36624,148.18605
36625,675.1185
36626,278.32587
36627,114.25659
36628,360.6999
36629,410.82947
36630,124.63192
36631,364.42813
36632,196.7963
36633,229.7536
36634,106.39198
36635,208.7995
36636,382.6691
36637,244.39594
36638,206.77977
36639,235.14117
36640,148.59686
36641,499.68573
36642,201.60345
36643,90.32005
36644,132.12173
36645,194.79387
36646,250.39603
36647,295.16833
36648,923.17444
36649,134.64508
36650,1157.1152
36651,291.9227
36652,176.55844
36653,322.52237
36654,337.76184
36655,206.2331
36656,269.65924
36657,259.429
36658,209.5682
36659,193.09056
36660,248.20284
36661,195.87329
36662,156.9532
36663,116.891075
36664,225.37125
36665,171.00826
36666,93.81291
36667,355.37744
36668,536.4861
36669,142.02315
36670,163.00446
36671,258.97067
36672,701.49744
36673,234.49069
36674,225.60605
36675,182.84206
36676,459.12704
36677,329.20166
36678,192.98083
36679,155.72482
36680,287.01114
36681,284.99515
36682,214.43324
36683,378.72937
36684,185.53735
36685,436.989
36686,179.19427
36687,165.9278
36688,172.03137
36689,225.88716
36690,170.46924
36691,1277.4897
36692,162.18225
36693,394.43134
36694,153.04141
36695,99.2705
36696,107.82547
36697,217.66165
36698,190.98874
36699,156.09563
36700,231.2612
36701,473.4816
36702,126.32619
36703,250.03152
36704,155.02301
36705,175.54434
36706,130.34346
36707,263.30347
36708,270.97678
36709,448.63455
36710,141.82552
36711,236.41429
36712,129.79765
36713,163.29547
36714,131.71477
36715,102.81491
36716,113.92726
36717,152.23021
36718,172.73734
36719,226.03639
36720,271.4173
36721,290.44794
36722,786.70764
36723,274.87042
36724,506.52966
36725,204.22896
36726,101.19128
36727,192.16727
36728,192.47073
36729,463.88605
36730,160.05733
36731,257.3109
36732,176.06738
36733,130.27997
36734,77.3534
36735,167.29913
36736,87.58255
36737,371.94983
36738,133.21265
36739,84.12708
36740,275.1356
36741,191.31943
36742,112.13269
36743,146.9332
36744,208.55644
36745,157.01505
36746,206.0939
36747,103.83699
36748,215.8876
36749,505.53668
36750,99.85667
36751,198.23767
36752,435.51578
36753,553.17926
36754,217.22458
36755,632.80615
36756,195.33191
36757,380.8824
36758,129.91515
36759,177.91513
36760,273.73175
36761,210.72404
36762,203.47067
36763,115.470604
36764,300.4765
36765,171.38702
36766,311.86636
36767,286.57474
36768,310.31985
36769,129.79915
36770,124.74232
36771,146.95232
36772,78.844246
36773,200.001
36774,192.52646
36775,201.81612
36776,172.36569
36777,78.65742
36778,78.31285
36779,235.50528
36780,170.92249
36781,235.17372
36782,197.62802
36783,219.91974
36784,364.5841
36785,428.88556
36786,106.230896
36787,295.5933
36788,250.04588
36789,523.384
36790,327.06506
36791,487.0558
36792,202.73297
36793,138.83925
36794,382.31616
36795,195.79501
36796,399.9426
36797,452.23694
36798,604.10364
36799,397.05432
36800,275.22595
36801,539.0974
36802,350.19293
36803,245.93338
36804,192.03485
36805,117.78279
36806,490.31543
36807,186.78088
36808,268.31982
36809,201.36256
36810,387.01123
36811,269.8693
36812,265.1075
36813,162.01761
36814,532.81067
36815,110.21167
36816,178.90802
36817,250.18155
36818,193.28622
36819,162.89603
36820,217.99983
36821,309.14813
36822,794.28796
36823,624.1706
36824,278.5981
36825,217.88573
36826,247.86879
36827,170.5998
36828,379.98102
36829,304.12796
36830,216.97603
36831,346.6235
36832,177.60947
36833,237.9768
36834,226.2228
36835,461.71515
36836,180.81412
36837,122.40065
36838,202.82654
36839,105.82211
36840,373.4504
36841,194.60146
36842,190.15118
36843,159.46945
36844,273.52942
36845,143.97794
36846,537.7691
36847,207.49773
36848,247.05759
